District Code,State,Seat,Urban Pop.,Suburban Pop.,Rural Pop.,Total Pop.,Urban Pop. %,Suburban Pop. %,Rural Pop. %,Total Pop. %
california06,California,6,135227.91069382548,517502.0289460004,21171.37263554459,673901.3122753705,0.2006642637884766,0.7679196041312025,0.03141613208032086,1.0
california07,California,7,201609.75967244152,434527.8816349418,30299.28715636738,666436.9284637506,0.3025188897277736,0.6520165121050566,0.045464598167169905,1.0
california08,California,8,226685.06627199185,408523.30797018606,15532.28521281996,650740.6594549979,0.3483493200837381,0.6277820542400541,0.023868625676207803,1.0
california09,California,9,184014.79615068974,425111.6120443578,65592.34013323812,674718.7483282856,0.27272815022053754,0.6300575063278351,0.09721434345162741,1.0
california10,California,10,67849.35926633464,587107.8847143048,16888.07045017822,671845.3144308177,0.10098955490047005,0.8738736017109804,0.025136843388549438,1.0
california11,California,11,619397.8904364323,70621.31865824932,920.371420258529,690939.5805149402,0.8964573862953551,0.10221055595862232,0.0013320577460225957,1.0
california12,California,12,430259.21255210723,250049.6262094007,4399.03898579495,684707.877747303,0.6283836166273785,0.3651916888002909,0.006424694572330379,1.0
california13,California,13,163180.03466737128,386123.21638917853,156641.0940214229,705944.3450779727,0.23115141555436325,0.5469598546703148,0.22188872977532192,1.0
california14,California,14,123010.01545272264,562266.7850808601,11182.101689978706,696458.9022235615,0.1766220735494838,0.8073222745602495,0.01605565189026657,1.0
california15,California,15,247730.45274087932,459103.80229469604,3999.0298219171495,710833.2848574925,0.3485071085135584,0.6458670578245881,0.005625833661853458,1.0
california16,California,16,154799.6921715567,536296.1420354364,24021.859331529995,715117.693538523,0.21646743406051344,0.7499410892516902,0.03359147668779636,1.0
california17,California,17,228450.93397471553,445672.96810636536,4400.997758110347,678524.8998391913,0.3366876204968422,0.6568262538515369,0.006486125651620702,1.0
california18,California,18,318793.0817737309,312647.6893799394,66209.11373831533,697649.8848919856,0.45695281928282466,0.44814411376036484,0.09490306695681061,1.0
california19,California,19,153348.64260643598,462430.9952613402,116717.91575108722,732497.5536188635,0.20935038192117575,0.6313072214053489,0.15934239667347536,1.0
california20,California,20,122821.69733235158,438134.49682376574,139501.0742771014,700457.2684332187,0.17534502512491432,0.6254978234486509,0.19915715142643478,1.0
california21,California,21,294705.7900704508,326167.59449109784,79169.45240706175,700042.8369686104,0.42098250922273955,0.46592519381170816,0.11309229696555222,1.0
california22,California,22,227830.63437614535,407426.61235394084,92281.55639536024,727538.8031254464,0.3131525540595276,0.5600067111247811,0.12684073481569136,1.0
california23,California,23,91525.41316614582,430457.8510497189,194571.90373029053,716555.1679461552,0.12772975098132766,0.6007323236304748,0.27153792538819765,1.0
california24,California,24,161179.8781017655,455310.8762902398,101787.34367224379,718278.098064249,0.22439759549420116,0.6338921895534574,0.14171021495234154,1.0
california25,California,25,183891.48363879218,374216.41387138685,117182.88216376641,675290.7796739455,0.27231451868420525,0.5541559653044158,0.1735295160113788,1.0
california26,California,26,108328.46150802149,586445.4571771907,46367.65873145391,741141.5774166661,0.14616432920362227,0.791273185915859,0.06256248488051865,1.0
california27,California,27,112040.06506002072,516970.0195879057,68314.08091800597,697324.1655659325,0.16067142168964063,0.7413625471710773,0.09796603113928198,1.0
california28,California,28,203191.55061671938,538385.1956794442,16830.881741230427,758407.628037394,0.2679186536434742,0.7098889512394232,0.0221923951171026,1.0
california29,California,29,451696.3359946416,277382.4591996429,13754.457056674511,742833.252250959,0.608072315860788,0.3734114733812857,0.018516210757926196,1.0
california30,California,30,447678.1719654268,293622.31887879845,4502.404924245382,745802.8957684707,0.6002633866205923,0.3936996229764593,0.006036990402948398,1.0
california31,California,31,249413.75409976166,488306.84786258184,13342.683743128298,751063.2857054719,0.3320808763345261,0.6501540644526599,0.017765059212813936,1.0
california32,California,32,294729.2462771954,419736.9440344186,14417.81547698106,728884.0057885951,0.40435685779429553,0.5758624701612108,0.01978067204449372,1.0
california33,California,33,154442.5409451537,515783.2915582899,22795.151946663664,693020.9844501072,0.22285406129180857,0.744253497558302,0.03289244114988954,1.0
california34,California,34,528491.2343992738,230358.8811536834,14466.21615964163,773316.3317125988,0.6834088622295983,0.29788441250623393,0.01870672526416779,1.0
california35,California,35,155682.8176611166,532726.6737288178,14307.522089225038,702717.0134791594,0.22154411331288154,0.7580955968196676,0.02036028986745083,1.0
california36,California,36,318725.0184457154,391306.68687672,3333.5811869963673,713365.2865094318,0.446790759899839,0.548536204770242,0.0046730353299190034,1.0
california37,California,37,592374.7136077039,130089.67621527423,5391.392867841017,727855.7826908192,0.8138627564622024,0.17873001672713798,0.007407226810659535,1.0
california38,California,38,250331.4572424966,483661.3804358802,17383.45861488434,751376.2962932611,0.3331639000024997,0.6437006102294021,0.023135489768098302,1.0
california39,California,39,189109.0948941096,476592.26397555467,32384.865326111943,698086.2241957762,0.2708964714379961,0.6827126040549052,0.04639092450709886,1.0
california40,California,40,100717.16515343249,610205.560111454,14357.626705065937,725280.3519699525,0.13886652917023332,0.8413375027381607,0.019795968091605984,1.0
california41,California,41,95053.70903950767,544301.8290633047,79962.54123509668,719318.079337909,0.1321441956901725,0.7566914341487194,0.11116437016110815,1.0
california42,California,42,439300.53856010974,305276.0169226155,12221.267319027853,756797.8228017531,0.5804727832511044,0.4033785612549048,0.016148655493990863,1.0
california43,California,43,441124.95195654803,289396.2826514301,8859.916243792071,739381.1508517702,0.5966137376485324,0.3914033814874025,0.01198288086406505,1.0
